,word,ner
1210, राम ,B-PERSON
1211, को ,B-PERSON
1212, लन्देश ,B-PERSON
1213, यह ,B-PERSON
1214, सुनकर ,o
1215, उस ,B-PERSON
1216, बात ,o
1217, ये ,o
1218, सन्तुष्ट ,B-PERSON
1219, हुआ ,o
1220, वाक्य ,o
1221, निपुण ,B-PERSON
1222, वानर ,B-PERSON
1223, श्रेष्ठ ,B-PERSON
1224, सीता ,B-PERSON
1225, से ,o
1226, यह ,B-PERSON
1227, वाक्य ,o
1228, पोका ,B-PERSON
1229, ।। ,o
1230, १ ,B-PERSON
1231, हे ,B-PERSON
1232, देवि ,B-PERSON
1233, यह ,B-PERSON
1234, तेरा ,B-PERSON
1235, उस ,B-PERSON
1236, महात्मा ,B-PERSON
1237, की ,B-PERSON
1238, पत्नी ,B-PERSON
1239, होने ,o
1240, के ,o
1241, सटमा ,B-PERSON
1242, वचन ,B-PERSON
1243," है,कौन ",o
1244, तेरे ,B-PERSON
1245, बिना ,o
1246, हे ,B-PERSON
1247, देवि ,B-PERSON
1248, ऐसा ,o
1249, वचन ,B-PERSON
1250, का ,o
1251, सकी ,o
1252, है३ ,o
1253, राम ,B-PERSON
1254, मुझसे ,o
1255, यह ,o
1256, सब ,o
1257, पूरा ,o
1258, २ ,o
1259," सुनेंगे, ",o
1260, अब ,o
1261, मुझे ,o
1262, कोई ,o
1263, आभिज्ञान ,o
1264," दे, ",o
1265, जिसको ,o
1266, राम ,B-PERSON
1267, पहचान ,o
1268, लें ,o
1269, या ,o
1270, तब ,o
1271, वस्त्र ,o
1272, के ,o
1273, नीचे ,o
1274, से ,o
1275, सुन्दर ,B-PERSON
1276, दिव्य ,B-LOCATION
1277, चूड़ामणि ,B-PERSON
1278, (शिरोमणि) ,B-PERSON
1279, खोलकर ,B-PERSON
1280," ""यह ",B-LOCATION
1281, राम ,B-PERSON
1282, को ,o
1283," देना"" ",o
1284, ऐसा ,o
1285, करती ,o
1286, हुई ,o
1287, सीता ,B-PERSON
1288, ने ,B-PERSON
1289, हनुमान ,B-PERSON
1290, को ,B-PERSON
1291, दिया ,o
1292, ।। ,o
1293, ५ ,B-COUNT
1294,और ,o
1295, जेसे ,o
1296, यह ,o
1297, महायाह ,B-PERSON
1298, राम ,B-PERSON
1299, इस ,B-LOCATION
1300, दुखि ,B-PERSON
1301, समुद्र ,B-PERSON
1302, से ,o
1303, मुझे ,o
1304, पार ,o
1305," करे, ",o
1306, वैसा ,o
1307, ठीक ,o
1308, २ ,o
1309, करना ,o
1310, यह ,o
1311, मेरा ,o
1312, सीत्र ,o
1313, शोक ,o
1314, का ,o
1315," वेग, ",o
1316, इन ,o
1317, राक्षसों ,B-PERSON
1318, से ,o
1319, झिड़कें ,o
1320, यह ,o
1321, सम ,o
1322, के ,o
1323, समीप ,o
1324, जाकर ,o
1325," कहो, ",o
1326, हे ,B-PERSON
1327, मानरश्रेष्ठ ,o
1328, तेरा ,B-PERSON
1329, मार्ग ,o
1330, शुभ ,o
1331, हो ,o
1332, तब ,B-PERSON
1333, हनुमान ,B-PERSON
1334, ने ,B-PERSON
1335, उस ,B-PERSON
1336, प्रमदाधन ,B-PERSON
1337, को ,o
1338, तोड़ना ,o
1339, आरम्भ ,o
1340," किया, ",o
1341, जिसमें ,o
1342, मस्त ,o
1343, पंछी ,B-PERSON
1344, बोल ,o
1345, रहे ,o
1346," थे, ",o
1347, और ,o
1348, अनेक ,o
1349, वेळ ,B-PERSON
1350, यूटों ,B-PERSON
1351, से ,o
1352, युक्त ,o
1353, था ,o
1354, तव ,B-PERSON
1355, विकृत ,o
1356, सुखों ,B-PERSON
1357, पाली ,B-LOCATION
1358, * ,B-PERSON
1359, यहां ,o
1360, से ,o
1361, भागे ,B-PERSON
1362, जो ,B-PERSON
1363, हनुमान ,B-PERSON
1364, के ,B-PERSON
1365, साथ ,o
1366, युर ,B-PERSON
1367, दिखलाया ,o
1368," है, ",o
1369, उसमें ,o
1370, अत्युक्ति ,o
1371, अवश्य ,o
1372, है। ,o
1373, सम्भव ,o
1374," है, ",o
1375, कि ,o
1376, हनुमान ,B-PERSON
1377, ने ,B-PERSON
1378, राक्षसों ,B-PERSON
1379, से ,B-PERSON
1380, इन्दयुत ,B-PERSON
1381, मांगा ,B-PERSON
1382, हो। ,o
1383, इन ,o
1384, युद्ध ,B-PERSON
1385, में ,o
1386, एक ,B-COUNT
1387, के ,o
1388, सामने ,o
1389, एक ,B-COUNT
1390, ही ,o
1391, खड़ा ,o
1392, होता ,o
1393," था, ",o
1394, उसके ,o
1395, हार ,o
1396, जाने ,o
1397, पर ,o
1398, दूसरा ,B-PERSON
1399, सामने ,o
1400, होसका ,B-PERSON
1401, था ,B-LOCATION
1402, । ,B-PERSON
1403, रामसियें ,B-PERSON
1404, रावण ,B-PERSON
1405, के ,B-PERSON
1406, पास ,o
1407, जाकर ,B-PERSON
1408, एक ,B-PERSON
1409, अयङ्कार ,B-PERSON
1410, विरुप ,B-PERSON
1411, चानर ,B-PERSON
1412, का ,B-PERSON
1413, आना ,o
1414, उसे ,B-PERSON
1415, पतलाती ,B-LOCATION
1416, भैई ,B-PERSON
1417, ।। ,B-PERSON
1418, २.० ,B-COUNT
1419, पवनपुत्र ,B-PERSON
1420, वीर ,B-PERSON
1421, उन ,B-PERSON
1422, किंकरों ,B-PERSON
1423, को ,B-PERSON
1424, मार ,B-PERSON
1425, कर ,o
1426, वह ,B-PERSON
1427, महावीर ,B-PERSON
1428, युद्ध ,B-PERSON
1429, चाहता ,o
1430, हुआ ,o
1431, देउदी ,B-PERSON
1432, पर ,o
1433, स्थित ,o
1434, रहा ,o
1435,वेग ,o
1436, से ,o
1437, ताड़ना ,o
1438, किया ,o
1439, हुआ ,o
1440, वह ,o
1441, महारथी ,B-PERSON
1442, जम्बूपाली ,B-LOCATION
1443, अङ्गों ,B-PERSON
1444, के ,o
1445, चूर ,B-PERSON
1446, २ ,B-COUNT
1447, होजाने ,o
1448, से ,o
1449, वृक्ष ,I-LOCATION
1450, की ,I-LOCATION
1451, तरह ,o
1452, भूमि ,o
1453, पर ,o
1454, गिरा ,o
1455, ।। ,o
1456, ६ ,B-COUNT
1457, ।। ,o
1458, जम्बूमाली ,B-PERSON
1459, और ,B-PERSON
1460, महावली ,B-PERSON
1461, किंकरों ,B-PERSON
1462, को ,B-PERSON
1463, हत ,o
1464, हुआ ,o
1465, पून ,B-PERSON
1466, कर ,o
1467, रावण ,B-PERSON
1468, क्रोध ,B-PERSON
1469, से ,o
1470," भरगया, ",o
1471, और ,o
1472, उनके ,o
1473, नेश ,B-PERSON
1474, लाल ,B-PERSON
1475, होगये। ,o
1476, तब ,B-PERSON
1477, वह ,B-PERSON
1478, बीर ,B-PERSON
1479, वानर ,B-PERSON
1480, सन ,B-PERSON
1481, सेनापत्तियों ,B-LOCATION
1482, को ,B-PERSON
1483, सेना ,B-LOCATION
1484, और ,B-PERSON
1485, चाइनों ,B-LOCATION
1486, समेत ,B-PERSON
1487, मारकर ,B-PERSON
1488, मजा ,B-LOCATION
1489, के ,B-PERSON
1490, नाश ,B-PERSON
1491, में ,B-LOCATION
1492, काल ,B-PERSON
1493, की ,o
1494, तरह ,o
1495, देखड़ी ,B-PERSON
1496, पर ,o
1497, उत्सव ,B-PERSON
1498, मनावा ,o
1499, भया ,o
1500, ।।२३।। ,o
1501, उन ,B-PERSON
1502, पांच ,B-COUNT
1503, सेनापतियों ,I-PERSON
1504, को ,B-PERSON
1505, अनुघरों ,B-PERSON
1506, और ,o
1507, वाहनों ,B-PERSON
1508, समेत ,o
1509, मारा ,B-PERSON
1510, गया ,o
1511, सुनकर ,B-PERSON
1512, राजा ,B-PERSON
1513, ने ,B-PERSON
1514, युद्ध ,B-PERSON
1515, के ,o
1516, लिये ,o
1517, तय्यार ,B-PERSON
1518, सामने ,B-LOCATION
1519, खड़े ,B-PERSON
1520, हुए ,B-PERSON
1521, कुमार ,B-PERSON
1522, अक्ष ,B-PERSON
1523, को ,B-PERSON
1524, आज्ञा ,o
1525, दी ,o
1526, उसकी ,o
1527," भुजा, ",o
1528," राने, ",B-PERSON
1529, कमर ,B-PERSON
1530, और ,o
1531, छाती ,B-PERSON
1532, टूट ,o
1533," गई, ",o
1534, रुधिर ,o
1535, बहने ,o
1536," लगा, ",o
1537, दलियां ,o
1538, चूर ,o
1539, २ ,B-COUNT
1540, होगई ,o
1541, जोड़ ,o
1542, और ,o
1543, बन्धन ,o
1544, टूट ,o
1545," गये, ",o
1546, ऐसा ,o
1547, उस ,B-PERSON
1548, पवनपुत्र ,B-PERSON
1549, ने ,B-PERSON
1550, राक्षस ,B-PERSON
1551, को ,B-PERSON
1552, शयिती ,B-PERSON
1553, पर ,o
1554, मार ,B-PERSON
1555, पटका ,o
1556, ।। ,B-PERSON
1557, १७ ,B-COUNT
1558, ।। ,o
1559, मग ,B-PERSON
1560, २५ ,B-COUNT
1561, (प०४८-४२ ,I-PERSON
1562, ) ,B-PERSON
1563, मेघनाद ,B-PERSON
1564, से ,B-PERSON
1565, युद्ध ,B-PERSON
1566, हनुमान ,B-PERSON
1567, का ,B-PERSON
1568, बन्धना ,B-PERSON
1569, और ,B-PERSON
1570, रावण ,B-PERSON
1571, के ,B-PERSON
1572, दर्शन ,B-PERSON
1573, जय ,B-PERSON
1574, हनुमान ,B-PERSON
1575, ने ,B-PERSON
1576, कुमार ,B-PERSON
1577, अक्ष ,B-PERSON
1578, को ,B-PERSON
1579, मार ,B-PERSON
1580," दिया, ",o
1581, तब ,B-PERSON
1582, महात्मा ,B-PERSON
1583, राक्षसपति ,B-PERSON
1584, ने ,B-PERSON
1585, मन ,B-PERSON
1586, को ,B-PERSON
1587, एकाग्र ,B-PERSON
1588, करके ,B-PERSON
1589, देवतुल्य ,B-PERSON
1590, इन्द्रजित ,B-PERSON
1591, (मेघनाद) ,B-PERSON
1592, को ,B-PERSON
1593, आज्ञा ,o
1594, दी ,o
1595, ।। ,B-PERSON
1596, १ ,B-COUNT
1597, रथ ,o
1598, पर ,o
1599, चढ़कर ,o
1600, आते ,o
1601, हुए ,B-PERSON
1602, पूर्ण ,B-PERSON
1603, इन्द्र ,B-PERSON
1604, ध्वजवाले ,B-PERSON
1605, को ,B-PERSON
1606, देखकर ,B-PERSON
1607, वानर ,B-PERSON
1608, महानाद ,B-PERSON
1609, करता ,B-PERSON
1610, हुआ ,o
1611," गर्मा, ",B-PERSON
1612, और ,o
1613, फूल ,o
1614, गया ,o
1615, तच ,B-PERSON
1616, राक्षस ,B-PERSON
1617, द्वारा ,o
1618, उस ,B-PERSON
1619, अस्त्र ,o
1620, से ,o
1621, बांधा ,o
1622, हुआ ,o
1623, वानर ,B-PERSON
1624, निश्चष्ट ,o
1625," होगया, ",o
1626, और ,o
1627, पृथिवी ,B-PERSON
1628, पर ,o
1629, गिर ,o
1630, पड़ा ,o
1631,उस ,o
1632, महा ,B-PERSON
1633, हृदय ,B-PERSON
1634, वाले ,o
1635, रावण ,B-PERSON
1636, को ,B-PERSON
1637, देखकर ,o
1638, महान ,B-PERSON
1639, हृदय ,B-PERSON
1640, वाला ,B-PERSON
1641, धानरश्रेष्ठ ,B-LOCATION
1642, सावधान ,B-PERSON
1643, हो ,o
1644, अर्थ ,o
1645, युक्त ,o
1646, वाक्य ,o
1647, घोला ,B-PERSON
1648," संग२७०५२,५३)हनुमाह ",B-PERSON
1649, की ,B-PERSON
1650, पूछ ,o
1651, को ,o
1652, आग ,o
1653, लगाकर ,o
1654, लंकामें ,o
1655, घुमाना ,o
1656, * ,B-PERSON
1657, महात्मा ,B-PERSON
1658, वानर ,B-PERSON
1659, के ,B-PERSON
1660, वचन ,B-PERSON
1661, को ,o
1662, सुनकर ,o
1663, क्रोध ,B-PERSON
1664, से ,B-PERSON
1665, मूछिताए ,B-PERSON
1666, रावण ,B-PERSON
1667, ने ,B-PERSON
1668, उसके ,B-PERSON
1669, वध ,B-PERSON
1670, की ,B-PERSON
1671, आजादीशापर ,B-PERSON
1672, विभीषण ,B-PERSON
1673, ने ,B-PERSON
1674, इस ,B-PERSON
1675, में ,o
1676, अनुमान ,o
1677, . ,B-PERSON
1678, * ,o
1679, यहाँसे ,o
1680, आग ,B-PERSON
1681, लंका ,B-LOCATION
1682, दाह ,B-PERSON
1683, का ,B-LOCATION
1684, ओ ,B-PERSON
1685, प्रकरण ,o
1686," है, ",o
1687, इसमें ,o
1688, बहुत ,o
1689, ही ,o
1690, भत्युकि ,B-PERSON
1691, प्रतीत ,o
1692, होती ,o
1693, है। ,o
1694, यह ,o
1695, मसभाक्तिी ,B-PERSON
1696," , ",o
1697, कि ,o
1698, प्रयल ,B-PERSON
1699, राक्षसों ,B-PERSON
1700, की ,o
1701, राजधानी ,B-PERSON
1702, में ,o
1703, अफेला ,B-PERSON
1704, हनुमान ,B-PERSON
1705, लोगों ,B-PERSON
1706, के ,B-PERSON
1707, घरों ,o
1708, में ,o
1709, फिर ,B-PERSON
1710, २ ,B-COUNT
1711, कर ,o
1712, समको ,o
1713, जलाता ,o
1714," फिरे,और ",o
1715, पकड़ा ,o
1716, न ,o
1717, जाए ,o
1718, । ,o
1719, विच ,B-PERSON
1720, बनुमान ,B-PERSON
1721, ने ,B-PERSON
1722, जो ,B-PERSON
1723, उसके ,o
1724, प्रबल ,o
1725, थोशामों ,B-PERSON
1726, का ,o
1727, पता ,o
1728, लगामा ,B-PERSON
1729, माहा ,B-PERSON
1730," था, ",B-PERSON
1731, अब ,B-PERSON
1732, इन्द्र ,B-PERSON
1733, गुग ,B-PERSON
1734, से ,o
1735, मिस ,B-PERSON
1736, नहीं ,o
1737," दी, ",o
1738, क्योंकि ,B-PERSON
1739, (हनुमान् ,B-PERSON
1740, ) ,B-PERSON
1741, अपना ,o
1742, दूत ,B-PERSON
1743, होना ,o
1744, बतला ,o
1745, चुका ,o
1746, था ,o
1747, पूछ ,o
1748, बानरों ,B-PERSON
1749, का ,B-PERSON
1750, प्यारा ,B-PERSON
1751, भूषण ,B-PERSON
1752, होता ,o
1753," है, ",o
1754, वह ,B-PERSON
1755, इसकी ,o
1756, जल्दी ,o
1757, प्रदीप्त ,o
1758, करो ,o
1759, सच ,B-PERSON
1760, यह ,o
1761, उस ,o
1762, जली ,B-PERSON
1763, हुई ,o
1764, के ,o
1765, साथ ,o
1766, जाए ,o
1767, उसके ,o
1768, वचन ,o
1769, को ,o
1770, सुनकर ,o
1771, क्रोध ,B-PERSON
1772, से ,o
1773, प्रचण्ड ,B-PERSON
1774, राक्षस ,B-PERSON
1775, पुराने ,o
1776, चुफा ,B-PERSON
1777, था। ,o
1778, अब ,o
1779, इसकी ,o
1780, भी ,o
1781, मावश्यकता ,o
1782, म ,o
1783, थी ,o
1784, । ,B-PERSON
1785, हनुमान ,B-PERSON
1786, चामर ,B-PERSON
1787, न ,B-PERSON
1788," था, ",o
1789, किन्तु ,o
1790, दूसरी ,B-PERSON
1791, जातियों ,B-PERSON
1792, के ,o
1793, मुकाबिले ,B-PERSON
1794, में ,o
1795, यह ,B-PERSON
1796, उस ,B-LOCATION
1797, जाति ,B-PERSON
1798, का ,B-PERSON
1799, नाम ,B-LOCATION
1800, या। ,B-PERSON
1801, इसलिये ,o
1802, पूंछ ,o
1803, का ,o
1804, होना ,o
1805, ही ,o
1806, असंभव ,o
1807," है, ",o
1808, क्या ,o
1809, फिर ,o
1810, उसको ,o
1811, आग ,o
1812, लगाना ,o
1813, । ,o
1814, संभव ,o
1815, यह ,o
1816," है, ",o
1817, कि ,o
1818, रावण ,B-PERSON
1819, ने ,B-PERSON
1820, दूत ,B-PERSON
1821, होने ,o
1822, से ,o
1823, घजुमार ,B-PERSON
1824, को ,B-PERSON
1825, माय ,B-PERSON
1826, जान ,B-PERSON
1827, फर ,B-PERSON
1828, छोड़ ,o
1829," दिया,पर ",o
1830, जो ,B-PERSON
1831, हनुमान ,B-PERSON
1832, ने ,B-PERSON
1833, वानरराज ,B-PERSON
1834, सुग्रीव ,B-PERSON
1835, की ,o
1836, चढ़ाई ,I-LOCATION
1837, की ,o
1838, धमकी ,o
1839, दी ,o
1840," थी, ",o
1841, उसके ,o
1842, बदले ,B-PERSON
1843, में ,B-PERSON
1844, हनुमान ,B-PERSON
1845, के ,B-PERSON
1846, सन्मुच ,B-PERSON
1847, वानर ,B-PERSON
1848, की ,B-PERSON
1849, पूंछ ,B-PERSON
1850, बनाकर ,o
1851, जलाई ,o
1852," गई, ",o
1853, और ,o
1854, इस ,o
1855, तरह ,o
1856, पर ,o
1857, उस ,B-PERSON
1858, वानर ,B-PERSON
1859, जाति ,B-PERSON
1860, पर ,o
1861, उपहास ,o
1862, किया ,o
1863, गया ,o
1864, । ,o
1865, जैसर ,B-PERSON
1866, कि ,o
1867, अब ,B-PERSON
1868, रूस ,B-LOCATION
1869, की ,B-PERSON
1870, आकति ,o
1871, रीछ ,B-PERSON
1872, बनाते ,o
1873, हैं। ,o
1874, हनुमान ,B-PERSON
1875, जब ,B-PERSON
1876, जेला ,B-PERSON
1877," भया, ",B-PERSON
1878, तो ,o
1879, उसने ,B-PERSON
1880, इस ,B-LOCATION
1881, जात्यपमान ,B-PERSON
1882, का ,o
1883, बदला ,o
1884, यह ,o
1885," लिया, ",o
1886, कि ,o
1887, वानर ,B-PERSON
1888, की ,B-PERSON
1889, पूंछ ,o
1890, से ,o
1891, ही ,o
1892, थे ,o
1893, मालूम ,o
1894, किले ,I-LOCATION
1895, को ,o
1896, भागे ,o
1897, लगाई; ,o
1898, यह ,o
1899, जितलाते ,o
1900, हुए ,o
1901, कि ,B-PERSON
1902, बानर ,B-PERSON
1903, की ,o
1904, पंछ ,B-PERSON
1905, हो' ,o
1906, तुम्हारे ,o
1907, किलों ,o
1908, को ,o
1909, भस्मसात् ,o
1910, करेगी ,o
1911, । ,o
1912, यह ,o
1913, अभिप्राय ,o
1914, इतने ,o
1915, बड़े ,o
1916, मलकार ,o
1917, में ,o
1918, प्रकट ,o
1919, किया ,o
1920, है ,o
1921, । ,o
1922, वस्तुतः ,o
1923, न ,B-PERSON
1924, हनुमान ,B-PERSON
1925, की ,o
1926, पूंछ ,B-PERSON
1927," थी, ",o
1928, न ,o
1929, इससे ,o
1930, एम ,B-PERSON
1931, २ ,B-COUNT
1932, कर ,o
1933, एफ ,B-PERSON
1934, २ ,B-COUNT
1935, घर ,o
1936," जलाया, ",o
1937, किन्तु ,o
1938, एक ,o
1939, ही ,o
1940, जगह ,o
1941, भाग ,o
1942, लगाई ,o
1943, उस ,o
1944, माग ,B-PERSON
1945, से ,o
1946, पचन ,B-PERSON
1947, द्वारा ,o
1948, फैलकर ,o
1949, बहुत ,o
1950, बड़ी ,o
1951, हानि ,o
1952, हुई।मुन्दर ,o
1953, का ,o
1954, कपासी ,B-PERSON
1955, कपड़ों ,o
1956, से ,o
1957, उसकी ,o
1958, पूंछ ,o
1959, को ,o
1960, लपेटते ,o
1961, भए ,o
1962,यह ,o
1963, सोच ,o
1964, जलती ,o
1965, हुई ,o
1966, पुशवाला ,B-PERSON
1967, विजलीवाले ,B-LOCATION
1968, मेघके ,B-PERSON
1969, तुल्य ,B-LOCATION
1970, बह ,B-LOCATION
1971, महावानर ,B-PERSON
1972, लङ्कर ,B-LOCATION
1973, के ,I-LOCATION
1974, भवनों ,I-LOCATION
1975, की ,I-LOCATION
1976, चोटियों ,I-LOCATION
1977, पर ,o
1978, मा४ ,I-LOCATION
1979, राक्षसों ,B-PERSON
1980, के ,o
1981, घर ,I-LOCATION
1982, से ,o
1983, घर ,I-LOCATION
1984, और ,o
1985, घरों ,I-LOCATION
1986, के ,I-LOCATION
1987, बगीचों ,I-LOCATION
1988, को ,o
1989, देखता ,o
1990, हुआ ,I-LOCATION
1991, यह ,B-LOCATION
1992, बानर ,B-PERSON
1993, निडर ,B-LOCATION
1994, हो ,B-LOCATION
1995, पालों ,B-LOCATION
1996, पर ,o
1997, घूमा ,o
1998, घूमते ,o
1999, हुए ,o
2000, महातेजस्वी ,B-PERSON
2001, पानरश्रेष्ठ ,B-PERSON
2002, में ,B-LOCATION
2003, विपीपण ,B-PERSON
2004, के ,o
2005, घर ,I-LOCATION
2006, को ,o
2007, छोड़कर ,o
2008, अपने ,o
2009, मव ,o
2010, दाह ,o
2011, कर ,o
2012, दिये ,o
2013, व०५७) ,B-PERSON
2014, हनुमान ,B-PERSON
2015, का ,B-PERSON
2016, जाम्यवान ,B-PERSON
2017, आदि ,B-PERSON
2018, के ,B-PERSON
2019, पास ,B-LOCATION
2020, वापिसजामा ,B-PERSON
2021, बहे ,B-PERSON
2022, नाद ,B-PERSON
2023, से ,o
2024, गर्जना ,B-PERSON
2025, हुआ ,o
2026, मेघ ,B-PERSON
2027, की ,o
2028, ध्वनि ,o
2029, तुल्य ,o
2030, ध्वनि ,o
2031, डाला ,o
2032, वह ,o
2033, पहातेजस्वी ,B-PERSON
2034, प्रवर ,B-LOCATION
2035, राक्षसों ,B-PERSON
2036, को ,B-PERSON
2037, मारकर ,B-PERSON
2038, अपना ,o
2039, नाम ,B-PERSON
2040, विख्यात ,o
2041," करके, ",o
2042, नगरी ,B-PERSON
2043, को ,B-PERSON
2044, व्याकुल ,B-PERSON
2045," करके, ",B-PERSON
2046, रावण ,B-PERSON
2047, को ,B-PERSON
2048, तग ,B-PERSON
2049," करके, ",o
2050, बड़े ,B-PERSON
2051, वीरों ,B-PERSON
2052, को ,B-PERSON
2053, पीड़ित ,o
2054," करके, ",o
2055, और ,B-PERSON
2056, सीता ,B-PERSON
2057, को ,B-PERSON
2058, अभिवादन ,B-PERSON
2059, करके ,o
2060, फिर ,B-PERSON
2061, समुद्र ,B-PERSON
2062, . ,B-LOCATION
2063, के ,B-PERSON
2064, मध्य ,B-LOCATION
2065, से ,B-PERSON
2066, पर्वतेन्द्र ,B-PERSON
2067, मैनाक ,B-PERSON
2068, को ,B-PERSON
2069, छूकर ,B-PERSON
2070, आया ,o
2071, तब ,B-PERSON
2072, वह ,B-PERSON
2073, प्रसन्न ,o
2074, मन ,B-PERSON
2075, हुए ,o
2076, सभी ,B-PERSON
2077, वादाश्रेष्ठ ,B-PERSON
2078, महात्मा ,B-PERSON
2079, हुनुपान ,B-PERSON
2080, को ,B-PERSON
2081, घेर ,o
2082, कर ,o
2083, चारों ,B-COUNT
2084, ओर ,o
2085, बैठ ,o
2086, गये ,o
2087,तब ,o
2088, उन्होंने ,o
2089, विचित्र ,o
2090, पनों ,o
2091, वाले ,o
2092, पलवण ,B-LOCATION
2093, पर्वत ,I-LOCATION
2094, पर ,I-LOCATION
2095, पहुंचकर ,B-LOCATION
2096, महाबली ,B-PERSON
2097, राम ,B-PERSON
2098, और ,B-PERSON
2099, लक्ष्मण ,B-PERSON
2100, को ,B-PERSON
2101, सिर ,B-PERSON
2102, से ,B-PERSON
2103, प्रणाम ,o
2104, करके ,o
2105, और ,B-PERSON
2106, युवराज ,B-PERSON
2107, अङ्गद ,B-PERSON
2108, को ,B-PERSON
2109, भागे ,B-PERSON
2110, करके ,B-PERSON
2111, सुग्रीव ,B-PERSON
2112, का ,B-PERSON
2113, अभिवादन ,B-PERSON
2114, कर ,o
2115, सीता ,B-PERSON
2116, का ,B-PERSON
2117, समाचार ,o
2118, कहना ,o
2119, प्रारम्भ ,o
2120, किया ,o
2121, दिव्य ,B-PERSON
2122, मुनहरी ,B-PERSON
2123, मार्ग ,B-LOCATION
2124, जो ,B-PERSON
2125, अपने ,o
2126, तेम ,B-PERSON
2127, से ,o
2128, दीप्त ,o
2129, होरही ,B-PERSON
2130," थी, ",o
2131, यह ,B-PERSON
2132, राम ,B-PERSON
2133, को ,B-PERSON
2134, दे ,o
2135, करके ,B-PERSON
2136, हनुमान् ,B-PERSON
2137, हाप ,B-PERSON
2138, जोड़कर ,o
2139, कहने ,o
2140, लगा ,o
2141, यह ,B-PERSON
2142, शोभा ,B-PERSON
2143, बाली ,B-PERSON
2144, समुद्रिय ,B-LOCATION
2145, माण ,B-PERSON
2146, उसने ,B-PERSON
2147, दी ,o
2148," है, ",o
2149, हे ,B-PERSON
2150, निष्पाप ,B-PERSON
2151, ! ,B-PERSON
2152, तेरे ,B-PERSON
2153, दर्शन ,B-PERSON
2154, के ,o
2155, तुल्य ,o
2156, इस ,B-PERSON
2157, (आपकी ,o
2158, दी ,B-PERSON
2159, मणि) ,B-PERSON
2160, के ,B-PERSON
2161, दर्शन ,o
2162, करके ,o
2163, दुःख ,B-PERSON
2164, में ,o
2165, आनन्द ,B-PERSON
2166, मनाऊंगी ,B-PERSON
2167, हनुमान ,B-PERSON
2168, से ,B-PERSON
2169, ऐसे ,B-PERSON
2170, कहा ,o
2171," हुआ, ",o
2172, दशरथमृत ,B-PERSON
2173, उस ,B-PERSON
2174, माणि ,B-PERSON
2175, को ,B-PERSON
2176, हृदय ,B-PERSON
2177, पर ,o
2178, रखकर ,o
2179, लक्ष्मण ,B-PERSON
2180, समेत ,B-PERSON
2181, पहुत ,o
2182, रोया ,B-PERSON
2183,इति ,o
2184, श्रीमद्वारमीकि ,B-PERSON
2185, रामायणे ,B-LOCATION
2186, पुन्दरकाण्ड ,B-PERSON
2187, समासम् ,B-LOCATION
2188, ।युद्धकाण्ड-लङ्काकाण्ड ,B-PERSON
2189, युडकाण्ड-लङ्काकाण्ड ,B-LOCATION
2190, घ० ,B-PERSON
2191," १,२) ",B-LOCATION
2192, हनुमान ,B-PERSON
2193, को ,B-LOCATION
2194, पुरस्कार ,B-PERSON
2195, और ,o
2196, सेना ,B-PERSON
2197, समेत ,o
2198, पफ ,B-PERSON
2199, साय ,B-LOCATION
2200, समुद्र ,B-PERSON
2201, पार ,o
2202, होने ,o
2203, का ,o
2204, प्रस्ताव ,o
2205, श्रुत्वा ,o
2206, हनूमतो ,B-PERSON
2207, वाक्यं ,o
2208, यथाचदभिभाषितम् ,o
2209, । ,o
2210, रामः ,B-PERSON
2211, प्रीतिसयायुक्तो ,B-PERSON
2212, काक्यमुत्तरमब्रवीत् ,B-LOCATION
2213, एप ,B-PERSON
2214, सबस्वभूतम्त ,B-LOCATION
2215, परियङ्गो ,B-PERSON
2216, हनूमतः ,o
2217, | ,o
2218, मया ,B-PERSON
2219, कालमियं ,B-LOCATION
2220, पाप्प ,B-PERSON
2221, दचस्तस्य ,B-LOCATION
2222, महात्मनाः ,B-PERSON
2223, इत्युक्त्वा ,B-LOCATION
2224, पीतिहष्टाङ्गो ,B-PERSON
2225, रामस्त ,B-LOCATION
2226, परिपस्वने ,B-PERSON
2227, । ,o
2228, हनूमन्तं ,B-PERSON
2229, कृतात्मानं ,B-PERSON
2230, कृतवाक्यमुपागतम् ,B-LOCATION
2231, हनुमान ,B-PERSON
2232, ने ,B-PERSON
2233, भूमि ,o
2234, में ,o
2235, दुर्बम ,o
2236, महतं ,o
2237, बड़ा ,o
2238, कार्य ,o
2239, किया ,o
2240," है, ",o
2241, जो ,o
2242, किसी ,o
2243, दूसरे ,o
2244, से ,o
2245, पृथिवीतल ,o
2246, पर ,o
2247, मन ,o
2248, से ,o
2249, भी ,o
2250, करना ,o
2251, अवाक्य ,o
2252, है ,o
2253, ।। ,o
2254, २ ,o
2255, ।। ,o
2256, किन्तु ,o
2257, इस ,o
2258, दीन ,o
2259, अवस्था ,o
2260, में ,o
2261, यह ,o
2262, बात ,o
2263, मेरे ,o
2264, मन ,o
2265, को ,o
2266, बहुत ,o
2267, ही ,o
2268, चुभती ,o
2269," है, ",o
2270, कि ,o
2271, मैं ,o
2272, इस ,o
2273, प्रिय ,o
2274, करनेवाले ,o
2275, के ,o
2276, साश ,o
2277, मिय ,o
2278, नहीं ,o
2279, कर ,o
2280, सकता ,o
2281, हूं ,o
2282, सीता ,o
2283, का ,o
2284, हूदना ,o
